,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
56,"RT @PIDSociety: Preliminary data from CDC’s influenza surveillance reports estimate over 20.4 million flu illnesses, 16,400 flu deaths, 252…",FALSE,0,NA,3/1/2019 20:32,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sbdrysdale,1,TRUE,FALSE,NA,NA,,,
57,"RT @equiflunet: Feb 2019: #equine #flu in Shropshire. On 28 February 2019, AHT confirmed an outbreak of EI in Shropshire. There are three n…",FALSE,0,NA,3/1/2019 20:30,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eggsypony,4,TRUE,FALSE,NA,NA,,,
58,"RT @famfightflu: As flu activity remains high, it's important to know the signs of #sepsis, which can be a secondary complication of #flu t…",FALSE,0,NA,3/1/2019 20:29,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Mariesea7,1,TRUE,FALSE,NA,NA,,,
59,"RT @famfightflu: Shortly after Jessica, Emily and Amanda lost their lives to #flu their parents set out to prevent other flu-related hospit…",FALSE,0,NA,3/1/2019 20:27,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Mariesea7,6,TRUE,FALSE,NA,NA,,,
60,RT @HelenBranswell: 2. The @CDCgov estimates that more than 20M Americans have contracted the flu this year. As many as 300K may have been…,FALSE,0,NA,3/1/2019 20:27,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Mariesea7,2,TRUE,FALSE,NA,NA,,,
61,#Home #Flu #Day6 I think my cat says hi at the end of this video. #continuewithyourday https://t.co/TrXETWqLzU,FALSE,68,NA,3/1/2019 20:26,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",andreasavage,3,FALSE,FALSE,NA,NA,,,
62,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:25,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Crypto_Dak,7,TRUE,FALSE,NA,NA,,,
63,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:25,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Crypto_Dak,7,TRUE,FALSE,NA,NA,,,
64,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:25,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Crypto_Dak,7,TRUE,FALSE,NA,NA,,,
65,"Preliminary data from CDC’s influenza surveillance reports estimate over 20.4 million flu illnesses, 16,400 flu dea… https://t.co/tI83ofqhAj",FALSE,1,NA,3/1/2019 20:23,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PIDSociety,1,FALSE,FALSE,NA,NA,,,
66,"I am not #immune to every #virus. #Cold. #Flu. #Ache of #Bones plus the added #pain of every other #Cell ache. Dang.
#Clinical #skill lapse.",FALSE,0,NA,3/1/2019 20:22,FALSE,NA,1.10E+18,NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>",PierceAeroOne,0,FALSE,FALSE,NA,NA,,,
67,Tropism and Infectivity of a Seasonal A(H1N1) and a Highly Pathogenic Avian A(H5N1) #Influenza Virus in Primary Dif… https://t.co/m8Dz4xsSMX,FALSE,0,NA,3/1/2019 20:21,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",thelonevirologi,0,FALSE,FALSE,NA,NA,,,
68,"RT @equiflunet: Feb 2019: #equine #flu in Shropshire. On 28 February 2019, AHT confirmed an outbreak of EI in Shropshire. There are three n…",FALSE,0,NA,3/1/2019 20:20,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Avonvaleequine,4,TRUE,FALSE,NA,NA,,,
69,How long Lord??? Bcuz I’m ready to just drive myself to the damn ER. It’s been over a f*cking wk with this gd #flu <U+0001F927> &amp; I AM MISERABLE <U+0001F616>!,FALSE,0,NA,3/1/2019 20:20,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",liquidkisses,0,FALSE,FALSE,NA,NA,,,
70,"RT @equiflunet: Feb 2019: #equine #flu in Shropshire. On 28 February 2019, AHT confirmed an outbreak of EI in Shropshire. There are three n…",FALSE,0,NA,3/1/2019 20:20,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sarah_janemad,4,TRUE,FALSE,NA,NA,,,
71,RT @HelenBranswell: 2. The @CDCgov estimates that more than 20M Americans have contracted the flu this year. As many as 300K may have been…,FALSE,0,NA,3/1/2019 20:19,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LSedger,2,TRUE,FALSE,NA,NA,,,
72,"RT @HelenBranswell: 15 more children have died from #flu, bringing this winter's total to 56. Each is a horrible tragedy, but the overall f…",FALSE,0,NA,3/1/2019 20:19,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LSedger,5,TRUE,FALSE,NA,NA,,,
73,"RT @HelenBranswell: 15 more children have died from #flu, bringing this winter's total to 56. Each is a horrible tragedy, but the overall f…",FALSE,0,NA,3/1/2019 20:18,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MeesterGibbs,5,TRUE,FALSE,NA,NA,,,
74,"RT @voimaoy: The virus of desire was transmitted by the eyes. Mirror shades became the rage. Then came vantablack, a black so black, it ate…",FALSE,0,NA,3/1/2019 20:15,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",AngelRae73,8,TRUE,FALSE,NA,NA,,,
75,"RT @equiflunet: Feb 2019: #equine #flu in Shropshire. On 28 February 2019, AHT confirmed an outbreak of EI in Shropshire. There are three n…",FALSE,0,NA,3/1/2019 20:15,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrLindaDykes,4,TRUE,FALSE,NA,NA,,,
76,Boiron is the #1 pharmacist-recommended brand for #homeopathic #flu products. https://t.co/ZOIYQA1hVA https://t.co/vlwijQLq9f,FALSE,0,NA,3/1/2019 20:14,FALSE,NA,1.10E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",BoironUSA,0,FALSE,FALSE,NA,NA,,,
77,"RT @HelenBranswell: 15 more children have died from #flu, bringing this winter's total to 56. Each is a horrible tragedy, but the overall f…",FALSE,0,NA,3/1/2019 20:13,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AsiaRonn,5,TRUE,FALSE,NA,NA,,,
78,RT @ThisMomHCN: EPIC! #Pediatrician shut down with the facts about the flu #vaccine! We are putting our #children at greater risk of #morta…,FALSE,0,NA,3/1/2019 20:11,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Nancy46co,5,TRUE,FALSE,NA,NA,,,
79,So the nasal spray #flu vaccine was 87% effective in young people (2-17) against H1N1 the main circulating virus th… https://t.co/JN5QFm5hlu,FALSE,0,NA,3/1/2019 20:06,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",antongyan,0,FALSE,FALSE,NA,NA,,,
80,"#Flu is finally abating in ICU!!!
2699 ICU cases so far this season with 223 deaths on UK ICUs

Barely a ripple in… https://t.co/ITVSEu0CXk",FALSE,1,NA,3/1/2019 20:06,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mark_borthwick,0,FALSE,FALSE,NA,NA,,,
